Data Element,Phase 1 (Initial Specs),Phase 2 (Skeleton),Phase 2 (Detailed Notes),Phase 3 (Copywriter)
"Project Identity",,,
"Book Title",Yes,Yes,Yes,Yes
"Philosophy / Message",Yes,Yes,Yes,Yes
"World Building",,,
"Setting / Geography",Yes,Yes,Yes,Yes
"History / Backstory",Yes,Yes,Yes,Yes
"Rules / Mechanics",Yes,Yes,Yes,Yes
"Other World Details",Yes,Yes,Yes,Yes
"Style Guide",,,
"Tone & Voice",Yes,Yes,Yes,Yes
"Vocabulary Constraints",Yes,Yes,Yes,Yes
"Global POV & Tense",Yes,Yes,Yes,Yes
"Narrative Arcs",,,
"Plot Goals",Yes,Yes,Yes,Yes
"Core Conflicts",Yes,Yes,Yes,Yes
"High Stakes",Yes,Yes,Yes,Yes
"Key Twists",Yes,Yes,Yes,Yes
"Chapter Skeleton",,,
"Chapter Number",,Yes,Yes,Yes
"Chapter Title",,Yes,Yes,Yes
"High-level Summary",,Yes,Yes,Yes
"Chapter Detail",,,
"Point-of-View (POV)",,,Yes,Yes
"Plot Thread A",,,Yes,Yes
"Plot Thread B",,,Yes,Yes
"Key Revelation",,,Yes,Yes
"Scene Notes (Beats)",,,Yes,Yes
"Drafting Output",,,
"Full Chapter Prose",,,,Yes
